train_loss,val_loss,train_acc,val_acc,precision,recall,f1
0.7048213481903076,0.5722713470458984,0.9969452023506165,0.9969603419303894,0.0,0.0,0.0
0.692795991897583,0.5917997360229492,0.9969452023506165,0.9969603419303894,0.0,0.0,0.0
0.6318607330322266,0.6137225031852722,0.9889776110649109,0.9891636371612549,0.0492091388400703,0.14,0.07282184655396619
0.6074123382568359,0.6231222152709961,0.8461650013923645,0.8437466621398926,0.013418283618109856,0.695,0.026328250781323993
0.5681437849998474,0.6095635294914246,0.8033063411712646,0.8002036809921265,0.012868753762793499,0.855,0.025355871886120998
0.5252559185028076,0.5710189938545227,0.790270209312439,0.7869811654090881,0.012697516930022574,0.9,0.025041736227045076
0.4625668525695801,0.5125125646591187,0.7798519134521484,0.7766159772872925,0.012442830239440409,0.925,0.024555349084151846
0.39937952160835266,0.45614784955978394,0.7676554322242737,0.7640165686607361,0.012034383954154728,0.945,0.023766111285759197
0.3619233965873718,0.4050825536251068,0.8006163239479065,0.7989270091056824,0.014313403906366482,0.96,0.028206258263552223
0.3658710718154907,0.3477192223072052,0.8365103602409363,0.8342325687408447,0.017398359325700892,0.965,0.034180465775259
0.35329198837280273,0.29580116271972656,0.8566060662269592,0.8546894192695618,0.01940650990861485,0.945,0.0380319951705403
0.34438836574554443,0.25752729177474976,0.8690381050109863,0.8672127723693848,0.02098529906856694,0.935,0.041049281088793764
0.33665135502815247,0.23917153477668762,0.8782785534858704,0.8762405514717102,0.022484068774798607,0.935,0.043912175648702596
0.31782886385917664,0.23869256675243378,0.8805734515190125,0.8784899115562439,0.0226576852418861,0.925,0.04423191870890615
0.32123637199401855,0.2561798393726349,0.8722980618476868,0.8701308369636536,0.02144741369423099,0.935,0.04193295212467765
0.30970245599746704,0.2821545898914337,0.8599610328674316,0.8576682806015015,0.020207308135273792,0.965,0.03958568351963901
0.29486873745918274,0.31548818945884705,0.8472554087638855,0.844840943813324,0.018751803057986346,0.975,0.03679592414378715
0.2901257872581482,0.34913182258605957,0.8376730680465698,0.8350532650947571,0.017658245042108122,0.975,0.03468825046695722
0.2912989854812622,0.3734778165817261,0.8347436189651489,0.831983208656311,0.017341040462427744,0.975,0.03407601572739187
0.2940236032009125,0.3771873414516449,0.8405188918113708,0.8380929231643677,0.017983952780595776,0.975,0.035316490084216244
0.28001388907432556,0.35885995626449585,0.8532890677452087,0.8517257571220398,0.01960587170721898,0.975,0.038438793613246605
0.2720000445842743,0.3369913697242737,0.8648509979248047,0.8635348081588745,0.02126731377467554,0.975,0.04162664105027218
0.270938515663147,0.31897300481796265,0.8750869631767273,0.8739759922027588,0.02276480301958009,0.965,0.04448029499884767
0.2772149443626404,0.31427115201950073,0.8794602155685425,0.8784595131874084,0.023701893708002443,0.97,0.04627310673822302
0.2735816538333893,0.31187704205513,0.8798021674156189,0.8785355091094971,0.02371638141809291,0.97,0.046300715990453455
0.25568363070487976,0.2964895963668823,0.8831419348716736,0.8821678757667542,0.02443017252235235,0.97,0.04765999262989805
0.2571156919002533,0.27720531821250916,0.8884612321853638,0.8869401216506958,0.025311475409836064,0.965,0.04932907348242811
0.25572746992111206,0.25342056155204773,0.8982412219047546,0.8970165848731995,0.027450416786432882,0.955,0.0533668622520257
0.2485933154821396,0.2368757575750351,0.9078311920166016,0.9061659574508667,0.029458097038437304,0.935,0.05711667684789249
0.24833741784095764,0.2313329577445984,0.912667989730835,0.9107710123062134,0.030934656741108353,0.935,0.05988791032826261
0.244148388504982,0.2302711308002472,0.913933277130127,0.9122452139854431,0.031439139206455954,0.935,0.060832791151594026
0.2542598247528076,0.23452983796596527,0.9111747741699219,0.9092207551002502,0.03042134374491622,0.935,0.05892547660311958
0.25090494751930237,0.24269171059131622,0.9079148173332214,0.9063026905059814,0.029499921123205552,0.935,0.057195289799663554
